t,penalty,C,accuracy,score_among_top_20_percent,selected_features
17,l2,1000.0,0.695,3650.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
18,l1,0.001,0.488,3299.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l1,0.01,0.681,3500.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l1,0.1,0.696,3500.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l1,1.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l1,10.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l1,100.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l1,1000.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,0.001,0.558,3000.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,0.01,0.636,3100.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,0.1,0.695,3400.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,1.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,10.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,100.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,l2,1000.0,0.695,3450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
19,l1,0.001,0.51,3250.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,l1,0.01,0.662,3050.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,l1,0.1,0.693,3250.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,l1,1.0,0.696,3250.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,l1,10.0,0.696,3200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
